sum_model,sum_model_preprocessing ,model_equal_manual,model_equal_manual_preprocessing ,path
4,3,169,168,MC_001_FR1_20190130_190637
6,4,123,123,MC_001_FR2_20190131_152351
53,37,164,148,MC_003_FR1_20190322_201950
52,37,152,137,MC_003_FR2_20190323_200816
36,34,141,139,MC_004_FR1_20190330_172124
41,45,135,139,MC_004_FR2_20190331_181731
18,14,147,143,MC_005_FR1_20190413_185203
5,5,134,134,MC_005_FR2_20190414_204844
25,20,132,127,MC_005_FR3_20190416_204113
10,13,117,120,MC_005_FR4_20190420_201557
13,11,166,164,MC_006_FR1_20190428_200159
6,2,167,163,MC_007_FR1_20190510_203529
27,19,164,156,MC_009_FR1_20190605_223914
41,26,159,146,MC_009_FR2_20190606_221809
2,2,133,133,MC_010_FR1_20190625_182441
2,3,168,169,MC_011_FR1_20190829_205443
9,4,166,161,MC_011_FR2_20190830_193219
1,3,144,146,MC_012_FR1_20190911_222622
0,0,146,146,MC_012_FR2_20190912_202614
0,0,130,130,MC_012_FR3_20190914_204903
1,2,140,141,MC_012_FR4_20190917_211748
0,1,153,152,MC_016_FR1_20200220_231721
3,5,143,145,MC_017_FR1_20200302_203539
4,1,158,155,MC_017_FR2_20200303_201615
0,1,125,126,MC_018_FR1_20200614_225044
2,2,117,117,MC_019_FR1_20200701_214443
0,0,144,144,MC_020_FR1_20200810_221820
0,0,130,130,MC_020_FR2_20200811_221558
0,0,140,140,MC_020_FR3_20200813_221018
0,1,134,135,MC_022_FR1_20201009_211727
8,7,144,143,MC_023_FR1_20201019_210721
10,4,146,140,MC_023_FR2_20201020_210200
8,8,138,138,MC_023_FR3_20201022_205452
1,5,114,118,MC_024_FR1_20201124_220315
6,4,125,123,MC_024_FR2_20201125_225401
18,8,136,126,MC_025_FR1_20210312_220107
31,12,137,116,MC_025_FR2_20210313_215823
9,5,61,57,MC_025_FR3_20210315_224443
0,0,104,104,MC_026_FR1_20210415_214212
7,8,133,134,MC_027_FR1_20210422_214146
2,3,125,124,MC_027_FR2_20210423_214123
0,1,150,151,MC_028_FR1_20210514_213002
3,4,156,157,MC_029_FR1_20210622_224438
5,6,131,132,MC_030_FR1_20210805_205952
10,7,130,127,MC_030_FR2_20210806_212619
